interval_from,interval_to,data_daily_max_ndvi_min,data_daily_max_ndvi_max,data_daily_max_ndvi_mean,data_daily_max_ndvi_stDev,data_daily_max_ndvi_sampleCount,data_daily_max_ndvi_noDataCount
2016-11-01,2016-12-01,0.3748801648616791,0.3748801648616791,0.3748801648616791,0.0,1,0
2017-01-01,2017-02-01,0.40675637125968933,0.40675637125968933,0.40675637125968933,0.0,1,0
2017-02-01,2017-03-01,0.30584901571273804,0.30584901571273804,0.30584901571273804,0.0,1,0
2017-03-01,2017-04-01,0.4862765371799469,0.4862765371799469,0.4862765371799469,0.0,1,0
2017-05-01,2017-06-01,0.7179111838340759,0.7179111838340759,0.7179111838340759,0.0,1,0
2017-08-01,2017-09-01,0.7352380752563477,0.7352380752563477,0.7352380752563477,0.0,1,0
2017-09-01,2017-10-01,0.49853944778442383,0.49853944778442383,0.49853944778442383,0.0,1,0
2017-10-01,2017-11-01,0.5159298777580261,0.5159298777580261,0.5159298777580261,0.0,1,0
2018-02-01,2018-03-01,0.42289936542510986,0.42289936542510986,0.42289936542510986,0.0,1,0
2018-03-01,2018-04-01,0.31643834710121155,0.31643834710121155,0.31643834710121155,0.0,1,0
2018-04-01,2018-05-01,0.572737455368042,0.572737455368042,0.572737455368042,0.0,1,0
2018-05-01,2018-06-01,0.5882730484008789,0.5882730484008789,0.5882730484008789,0.0,1,0
2018-06-01,2018-07-01,0.4233507215976715,0.4233507215976715,0.4233507215976715,0.0,1,0
2018-07-01,2018-08-01,0.500133216381073,0.500133216381073,0.500133216381073,0.0,1,0
2018-08-01,2018-09-01,0.26209011673927307,0.26209011673927307,0.26209011673927307,0.0,1,0
2018-09-01,2018-10-01,0.26018330454826355,0.26018330454826355,0.26018330454826355,0.0,1,0
2018-10-01,2018-11-01,0.21780925989151,0.21780925989151,0.21780925989151,0.0,1,0
2018-11-01,2018-12-01,0.3984401524066925,0.3984401524066925,0.3984401524066925,0.0,1,0
2018-12-01,2019-01-01,0.41806021332740784,0.41806021332740784,0.41806021332740784,0.0,1,0
2019-01-01,2019-02-01,0.3965417742729187,0.3965417742729187,0.3965417742729187,0.0,1,0
2019-02-01,2019-03-01,0.43208280205726624,0.43208280205726624,0.43208280205726624,0.0,1,0
2019-04-01,2019-05-01,0.6068819165229797,0.6068819165229797,0.6068819165229797,0.0,1,0
2019-06-01,2019-07-01,0.7505590319633484,0.7505590319633484,0.7505590319633484,0.0,1,0
2019-07-01,2019-08-01,0.5572693347930908,0.5572693347930908,0.5572693347930908,0.0,1,0
2019-08-01,2019-09-01,0.5593952536582947,0.5593952536582947,0.5593952536582947,0.0,1,0
2019-09-01,2019-10-01,0.47791165113449097,0.47791165113449097,0.47791165113449097,0.0,1,0
2019-10-01,2019-11-01,0.5548890233039856,0.5548890233039856,0.5548890233039856,0.0,1,0
2019-12-01,2020-01-01,0.5835443139076233,0.5835443139076233,0.5835443139076233,0.0,1,0
2020-01-01,2020-02-01,0.5221289992332458,0.5221289992332458,0.5221289992332458,0.0,1,0
2020-02-01,2020-03-01,0.43738657236099243,0.43738657236099243,0.43738657236099243,0.0,1,0
2020-03-01,2020-04-01,0.5813075304031372,0.5813075304031372,0.5813075304031372,0.0,1,0
2020-04-01,2020-05-01,0.5926706194877625,0.5926706194877625,0.5926706194877625,0.0,1,0
2020-05-01,2020-06-01,0.6584158539772034,0.6584158539772034,0.6584158539772034,0.0,1,0
2020-06-01,2020-07-01,0.6180323958396912,0.6180323958396912,0.6180323958396912,0.0,1,0
2020-07-01,2020-08-01,0.49130678176879883,0.49130678176879883,0.49130678176879883,0.0,1,0
2020-08-01,2020-09-01,0.452654629945755,0.452654629945755,0.452654629945755,0.0,1,0
2020-09-01,2020-10-01,0.646170437335968,0.646170437335968,0.646170437335968,0.0,1,0
2020-12-01,2021-01-01,0.6223628520965576,0.6223628520965576,0.6223628520965576,0.0,1,0
2021-02-01,2021-03-01,0.4632602334022522,0.4632602334022522,0.4632602334022522,0.0,1,0
2021-03-01,2021-04-01,0.5040332078933716,0.5040332078933716,0.5040332078933716,0.0,1,0
2021-04-01,2021-05-01,0.6553859114646912,0.6553859114646912,0.6553859114646912,0.0,1,0
2021-05-01,2021-06-01,0.7880622744560242,0.7880622744560242,0.7880622744560242,0.0,1,0
2021-06-01,2021-07-01,0.7592631578445435,0.7592631578445435,0.7592631578445435,0.0,1,0
2021-09-01,2021-10-01,0.5954610109329224,0.5954610109329224,0.5954610109329224,0.0,1,0
2021-10-01,2021-11-01,0.7063750624656677,0.7063750624656677,0.7063750624656677,0.0,1,0
2022-01-01,2022-02-01,0.4826752543449402,0.4826752543449402,0.4826752543449402,0.0,1,0
2022-03-01,2022-04-01,0.4331236779689789,0.4331236779689789,0.4331236779689789,0.0,1,0
2022-05-01,2022-06-01,0.6752555966377258,0.6752555966377258,0.6752555966377258,0.0,1,0
2022-06-01,2022-07-01,0.4949047267436981,0.4949047267436981,0.4949047267436981,0.0,1,0
2022-07-01,2022-08-01,0.41831326484680176,0.41831326484680176,0.41831326484680176,0.0,1,0
2022-09-01,2022-10-01,0.7643083333969116,0.7643083333969116,0.7643083333969116,0.0,1,0
2022-10-01,2022-11-01,0.7146032452583313,0.7146032452583313,0.7146032452583313,0.0,1,0
2022-11-01,2022-12-01,0.7348294258117676,0.7348294258117676,0.7348294258117676,0.0,1,0
